DATE;OPEN;HIGH;LOW;CLOSE;VOLUME;P_VC;VOLUMERMB;REAL PRICE;MA5;C_MA5;MA7;MA10;C_MA10;MA20;MA50;MA60;MA65;RAVI;DIFFMA;NC2;P_NC2;NC3;P_NC3;NC5;P_NC5;NC10;P_NC10;EPS;PE;SSEC;DIFFSSEC;P_DIFFSSEC;P_SSEC;ADX;BB;HH2;HH3;HH5;K;D;RSI6;RSI12;RSI24;DIFF;DEA;EMA9;EMA12;EMA26;MACD;LL2;LL3;L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L15;L20;L25;L30;L40;L50;;;;;;;;;;;;;
12/1/2015;15.5;15.71;14.95;15.22;3677873;-0.252464685;5625726976;15.22;15.568;-0.022864652;15.65714286;15.468;-0.01629435;14.615;12.6908;12.1975;12.01246154;-0.303408365;-0.158837057;-0.21;-0.013609851;-0.03;-0.001967213;-0.91;-0.056416615;0.45;0.030467163;2.521;6.037286791;3229.32;-56.09;-0.014622224;-0.017072451;46.83;0.961198094;0;0;1;0;0.107142857;0.362573099;0.620915033;0.585612969;0.848219121;0.900679426;15.30830245;15.15042938;14.30221026;-0.052460305;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;;;;;;;;;23.85;27.73;10.7;13.8;-3.88
13/1/2015;15.13;15.41;15.1;15.18;1784050;-0.514923435;2712026624;15.18;15.378;-0.013043478;15.58428571;15.509;-0.021673254;14.725;12.7904;12.28633333;12.09476923;-0.288514515;-0.160649978;-0.04;-0.002628121;-0.25;-0.016202203;-0.63;-0.039848197;0.23;0.015384615;2.521;6.021420071;3235.3;5.98;0.019220765;0.001851783;47.25;0.970728387;0;0;1;0;0.107142857;0.175182482;0.716080402;0.57113188;0.787746985;0.878092938;15.28264196;15.15497871;14.36723172;-0.090345953;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;1;;;;;;;;;24.1;27.44;10.43;13.58;-3.34
14/1/2015;15.31;15.79;15.31;15.49;3090189;0.732120176;4812472320;15.49;15.314;0.011362169;15.50142857;15.563;-0.004712718;14.8615;12.897;12.3795;12.18338462;-0.272341723;-0.160232408;0.31;0.020421607;0.27;0.017739816;0.24;0.015737705;0.13;0.008463542;2.521;6.144387148;3222.44;-12.86;-0.005823262;-0.003974902;47.62;0.979124121;0;0;1;1;0.333333333;0.302469136;0.677142857;0.661731207;0.756120702;0.85369849;15.32411357;15.20652044;14.45039974;-0.097577789;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;;;;;;;;;24.63;27.21;10.08;13.36;-2.58
15/1/2015;15.49;16.15;15.39;16.12;3298268;0.067335364;5216166912;16.12;15.488;0.039205955;15.5;15.639;0.02983871;15.003;13.018;12.48516667;12.28184615;-0.262025253;-0.156193135;0.63;0.040671401;0.94;0.061923584;0.69;0.044718082;0.43;0.027405991;2.521;6.394287981;3336.46;114.02;0.039373891;0.035383126;47.95;0.986612208;1;0;1;1;0.666666667;0.580310881;0.686980609;0.666292135;0.772981925;0.837555177;15.48329085;15.34705576;14.57407384;-0.064573253;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;24.37;27.38;9.8;13.13;-3.01
16/1/2015;16.24;16.75;16.16;16.47;4802459;0.456054814;7938758144;16.47;15.696;0.046994536;15.59428571;15.717;0.04571949;15.121;13.1476;12.59666667;12.38461538;-0.259165927;-0.153268569;0.35;0.021712159;0.98;0.063266624;1.25;0.082128778;0.4;0.024891101;2.521;6.533121777;3376.5;40.04;-0.022173202;0.012000743;48.25;0.99341956;1;1;1;1;1;0.854651163;0.701058201;0.687089716;0.805303602;0.831104862;15.68063268;15.51981641;14.71451281;-0.02580126;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;25.15;27.09;9.41;12.89;-1.94
19/1/2015;15.38;15.73;14.82;14.82;6235209;0.298336748;9496942592;14.82;15.616;-0.053711201;15.53285714;15.592;-0.052091768;15.1675;13.2434;12.68116667;12.46046154;-0.246571573;-0.167768781;-1.65;-0.100182149;-1.3;-0.080645161;-0.36;-0.023715415;-1.31;-0.081215127;2.521;5.878619595;3116.35;-260.15;-0.088905672;-0.077047238;48.44;0.997730883;0;0;1;0;0.666666667;0.404388715;0.446215139;0.585820896;0.689825672;0.802849024;15.50850615;15.41215235;14.72232668;-0.113023352;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;24.86;27.6;9.14;12.64;-2.74
20/1/2015;14.88;15.17;14.58;15;4792157;-0.231436027;7142638592;15;15.58;-0.038666667;15.47142857;15.479;-0.031933333;15.213;13.3398;12.76983333;12.53969231;-0.233796507;-0.162877778;0.18;0.012145749;-1.47;-0.089253188;-0.49;-0.031633312;-0.81;-0.051233397;2.521;5.950019833;3173.05;56.7;0.101673432;0.018194362;48.52;0.999546177;0;0;1;0.109090909;0.36969697;0.465189873;0.429158111;0.604868914;0.605849224;0.763449064;15.40680492;15.3487443;14.74289507;-0.15759984;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;24.99;27.29;8.83;12.4;-2.3
21/1/2015;15.1;15.87;14.81;15.74;4875404;0.017371509;7489943552;15.74;15.63;0.006988564;15.54571429;15.472;0.017026684;15.266;13.4436;12.87433333;12.62953846;-0.230901219;-0.151948327;0.74;0.049333333;0.92;0.062078273;-0.38;-0.023573201;0.49;0.032131148;2.521;6.243554145;3323.61;150.56;0.029580372;0.047449615;48.54;1;1;0;1;1;0.36969697;0.57253886;0.468451243;0.612488522;0.592182785;0.729195808;15.47344393;15.40893748;14.8167547;-0.137013023;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;24.52;27.87;8.67;12.16;-3.35
22/1/2015;15.73;15.76;15.35;15.63;2947383;-0.395458715;4592023040;15.63;15.532;0.006269994;15.61;15.51;0.007677543;15.342;13.5378;12.975;12.71953846;-0.227245788;-0.151439539;-0.11;-0.006988564;0.63;0.042;-0.84;-0.051001821;0.2;0.012961763;2.521;6.199920666;3343.34;19.73;-0.039363824;0.005936316;48.5;0.999092353;0;0;1;0.851351351;0.653480753;0.519125683;0.452651515;0.574656189;0.565952011;0.696547049;15.50475515;15.4429471;14.87699509;-0.130595038;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;26.51;27.12;8.19;11.9;-0.61
23/1/2015;15.74;16.04;15.54;15.63;3200430;0.085854807;5044685824;15.63;15.364;0.017018554;15.63;15.53;0.006397953;15.4505;13.6294;13.07383333;12.80953846;-0.220184478;-0.152058008;0;0;-0.11;-0.006988564;0.81;0.05465587;0.41;0.026938239;2.521;6.199920666;3351.76;8.42;-0.003382845;0.00251844;48.43;0.997503971;0;0;1;0;0.617117117;0.419141914;0.481854839;0.587349398;0.538951238;0.665027887;15.52980412;15.47172447;14.93277323;-0.126076648;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;27.03;26.92;7.67;11.63;0.11
26/1/2015;15.56;15.59;15.13;15.43;2685669;-0.160841199;4122351616;15.43;15.486;-0.003629294;15.53142857;15.551;-0.007841866;15.5095;13.7192;13.1675;12.89692308;-0.204273956;-0.151782242;-0.2;-0.012795905;-0.2;-0.012795905;0.43;0.028666667;0.25;0.016469038;2.521;6.120587069;3383.18;31.42;0.006862066;0.00937418;48.31;0.99478103;0;0;1;0;0.283783784;0.319444444;0.519565217;0.567269076;0.495700477;0.631162405;15.50984329;15.46530532;14.96960484;-0.135461928;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;;;;;;;;;27.22;26.57;7.26;11.35;0.65
27/1/2015;15.44;15.44;14.75;15.01;3519140;0.31034018;5286301696;15.01;15.488;-0.031845436;15.32285714;15.534;-0.03491006;15.5215;13.8014;13.24766667;12.97892308;-0.18059542;-0.151487897;-0.42;-0.027219702;-0.62;-0.039667306;-0.73;-0.046378653;-0.48;-0.030987734;2.521;5.953986513;3352.96;-30.22;-0.018219545;-0.008932425;48.16;0.991377354;0;0;1;0;0;0.557575758;0.45661157;0.516853933;0.422661271;0.589462178;15.40987464;15.39525835;14.97259708;-0.166800907;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;;;;;;;;;27.27;26.2;6.92;11.06;1.07
28/1/2015;14.82;15.11;14.66;14.81;2422031;-0.311754861;3592645120;14.81;15.302;-0.033220797;15.32142857;15.466;-0.044294396;15.5145;13.8826;13.32516667;13.06107692;-0.173060128;-0.147828044;-0.2;-0.01332445;-0.62;-0.040181465;-0.82;-0.052463212;-1.31;-0.081265509;2.521;5.874652916;3305.74;-47.22;-0.005070147;-0.014083079;47.96;0.98683912;0;0;1;0;0;0.443113772;0.457556936;0.537154989;0.344665753;0.540502893;15.28989971;15.3052186;14.96055285;-0.19583714;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;;;;;;;;26.81;25.95;6.58;10.77;0.86
29/1/2015;14.58;14.68;14.32;14.42;2669681;0.102248898;3864614144;14.42;15.06;-0.044382802;15.23857143;15.296;-0.06074896;15.4675;13.962;13.39766667;13.13538462;-0.16011612;-0.143539066;-0.39;-0.026333558;-0.59;-0.039307129;-1.21;-0.077415227;-2.05;-0.124468731;2.521;5.7199524;3262.3;-43.44;0.001143466;-0.013140779;47.72;0.981393238;0;0;1;0;0;0;0.426640927;0.552401747;0.248519227;0.48210616;15.11591977;15.16903112;14.9205119;-0.233586932;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;;;;;;;;;26.74;25.66;6.28;10.48;1.08
30/1/2015;14.58;14.69;14.36;14.47;2078653;-0.221385252;3021747712;14.47;14.828;-0.024740843;15.05714286;15.096;-0.043261921;15.4065;14.042;13.47233333;13.20876923;-0.139935341;-0.133667358;0.05;0.003467406;-0.34;-0.022957461;-0.96;-0.062216461;-0.35;-0.023616734;2.521;5.739785799;3210.36;-51.94;-0.002605524;-0.015921283;47.43;0.974812798;0;0;1;0.128205128;0.042735043;0.03968254;0.396341463;0.513064133;0.174347229;0.420554374;14.98673581;15.06148787;14.88714065;-0.246207145;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;;;;;;;;;25.5;27.35;6.1;10.2;-1.85
